k,alpha,eta,seed,c_v,u_mass,perplexity
20,0.5,symmetric,456,0.4127040729300536,-3.085889645584623,-8.374902824655486
20,0.5,0.01,42,0.3959319188597692,-2.8785533622990354,-8.762881754078979
20,0.5,0.01,123,0.4099044061734561,-3.035151719616832,-8.758703949066234
20,0.5,0.01,456,0.4074539089874416,-3.0712809497515394,-8.754517506338077
20,0.5,0.1,42,0.39125466499709394,-2.9172770491802575,-8.311412523483984
20,0.5,0.1,123,0.42070510266617844,-2.9733205450034657,-8.304202307722807
20,0.5,0.1,456,0.41810014342461344,-3.058677432896732,-8.303705302811602
25,symmetric,symmetric,42,0.45080164172982856,-2.5057261417308494,-8.337461306493779
25,symmetric,symmetric,123,0.4475745240203567,-2.5604437117726695,-8.332327384557786
25,symmetric,symmetric,456,0.44982739169704594,-2.53530186981275,-8.330976061296187
25,symmetric,0.01,42,0.4392955554748134,-2.5865966691622453,-8.733198794455596
25,symmetric,0.01,123,0.4402494036775802,-2.621226469065483,-8.724670832411803
25,symmetric,0.01,456,0.4502396688556072,-2.527388023163419,-8.729882914868698
25,symmetric,0.1,42,0.44647389962080164,-2.5290364137101364,-8.172098692141883
25,symmetric,0.1,123,0.43723595137898413,-2.6527703089171566,-8.167357999781181
25,symmetric,0.1,456,0.4450375405748747,-2.575173312443506,-8.159829612679607
25,0.01,symmetric,42,0.4383239031831197,-2.5853421011037843,-8.290468138129206
25,0.01,symmetric,123,0.4433266638190937,-2.6176943444208036,-8.287251492326298
25,0.01,symmetric,456,0.45576034519957936,-2.53113364775085,-8.280074839672674
25,0.01,0.01,42,0.45186761237792533,-2.524380837189781,-8.68814454273828
25,0.01,0.01,123,0.4436753547675727,-2.6403420021003257,-8.687717580708597
25,0.01,0.01,456,0.4438658962395193,-2.6251463150571883,-8.682525205251073
25,0.01,0.1,42,0.44503849990805283,-2.490355446892614,-8.117958161648607
25,0.01,0.1,123,0.4511537168611202,-2.6306317922764326,-8.114971619712923
25,0.01,0.1,456,0.45228228910258667,-2.532128523075157,-8.107380425324195
25,0.1,symmetric,42,0.4338896004067701,-2.6823567930581036,-8.429406885922788
25,0.1,symmetric,123,0.4369374119618162,-2.6588198171963784,-8.413248693715369
25,0.1,symmetric,456,0.44672787349707505,-2.5706798963612436,-8.427561716712887
25,0.1,0.01,42,0.4357610538079249,-2.659553553939426,-8.817779006828623
25,0.1,0.01,123,0.4354758215256665,-2.650902823564703,-8.803892445411394
25,0.1,0.01,456,0.44241791920359913,-2.644812977088725,-8.81958348029511
25,0.1,0.1,42,0.44825396241230664,-2.5774027116503233,-8.26749350178927
25,0.1,0.1,123,0.4401649363561945,-2.5837219862068372,-8.25655866183598
25,0.1,0.1,456,0.4564707797959653,-2.4824412011172514,-8.25867182788101
25,0.5,symmetric,42,0.3768805140308059,-3.3969938611025854,-8.481703349251447
25,0.5,symmetric,123,0.3903283419039329,-3.3855315258622745,-8.473859651114546
25,0.5,symmetric,456,0.39673229482544253,-3.2742035282343873,-8.477908970799644
25,0.5,0.01,42,0.37254278704661564,-3.3417196023814335,-8.844479125668387
25,0.5,0.01,123,0.38608965713446125,-3.3403782889542732,-8.8377395721325
25,0.5,0.01,456,0.3887376769373168,-3.2971764348985153,-8.841751971300514
25,0.5,0.1,42,0.37536721145213553,-3.490235444995335,-8.384805226211332
25,0.5,0.1,123,0.3891495857201281,-3.4586960280066306,-8.375530738933508
25,0.5,0.1,456,0.3972888381649235,-3.328856295509465,-8.379067094104672
