article_id,article_topic_category
26181283,politics
22163578,healthcare
11714708,politics
31056236,social_issues
22375452,religion
13483849,politics
24797344,politics
25548883,politics
28344977,crime_law
25993969,crime_law
20476668,education
24946466,environment
17499679,economy
11665901,crime_law
32249292,politics
12163884,politics
33057887,politics
33058040,economy
28804280,immigration
7015466,religion
16146003,healthcare
16277915,education
14065030,terrorism_security
17380742,crime_law
8673665,economy
7869957,economy
22515164,economy
22187185,technology
21680863,economy
29062711,social_issues
12301157,politics
30571341,politics
8303672,healthcare
32461979,politics
23875102,economy
14657740,healthcare
29184360,technology
17816899,religion
17298477,politics
17040723,politics
33053674,economy
26463892,environment
16625310,technology
13079423,healthcare
11730522,politics
13751626,politics
15992007,politics
18076572,politics
32452521,politics
15131566,politics
23383379,economy
24625081,politics
22274774,environment
12154172,politics
14470953,economy
11418189,environment
26250103,economy
22382836,politics
16267782,politics
26053380,environment
13905100,crime_law
8466731,healthcare
19737911,crime_law
12445332,politics
11811373,economy
7264832,education
26361236,politics
29184008,economy
28026597,economy
24386991,politics
27376738,religion
24004759,environment
21565909,environment
30219088,crime_law
22082507,religion
8078159,economy
12463190,politics
32324463,sports
24092349,economy
17186071,economy
26690262,politics
24939832,crime_law
17482689,politics
12664211,healthcare
27307796,terrorism_security
19256534,crime_law
14224364,religion
14740206,politics
13668699,crime_law
11743058,politics
7340001,politics
31697013,education
23278325,crime_law
22152128,economy
21803783,crime_law
26151235,religion
25763015,politics
18232749,politics
19260371,immigration
7902215,politics
14811870,crime_law
27819126,politics
27306077,politics
20959483,politics
20052859,crime_law
31418775,terrorism_security
31229817,religion
9336246,economy
32874704,politics
32151195,economy
29724440,education
26418815,politics
19161397,politics
7296268,education
14602891,economy
15928201,technology
9237644,technology
19396824,crime_law
32622590,politics
20076367,education
14968433,education
31464244,environment
23949998,economy
30183291,healthcare
19664297,economy
26741796,politics
26957709,politics
32367526,politics
11866603,education
8535391,politics
32577750,politics
31289555,politics
14895025,politics
22360163,terrorism_security
20566515,politics
21203894,economy
27931063,healthcare
26367571,politics
24135094,crime_law
27180070,healthcare
27056043,environment
28488278,healthcare
27550301,environment
29739425,environment
13316877,healthcare
8114824,crime_law
24398966,economy
23117381,terrorism_security
22383222,terrorism_security
31447415,technology
18462377,politics
28386171,crime_law
23279298,education
28815605,economy
15027360,crime_law
18059995,education
15962456,politics
23482364,healthcare
19184880,politics
24731318,education
17649460,politics
26275135,politics
17384193,healthcare
32357872,politics
32176077,technology
15792773,politics
29484587,politics
26760676,politics
18330726,immigration
9965530,environment
31220198,terrorism_security
25027795,politics
9781647,politics
30428285,terrorism_security
10915088,politics
6931835,crime_law
14036115,religion
8410607,terrorism_security
30713482,immigration
24162226,terrorism_security
15804281,politics
7253232,immigration
12569853,economy
18001997,education
8901119,religion
31914903,technology
28890015,economy
22423577,religion
13151259,environment
27218772,economy
26228215,education
27752355,environment
27170237,environment
12892670,politics
7018634,technology
31800686,sports
18980450,economy
27931795,economy
20306190,religion
16809511,economy
16705074,environment
19625747,politics
18951307,environment
31826105,politics
26048705,technology
7975889,economy
10791308,crime_law
28004514,crime_law
24301937,politics
11795465,technology
20991303,politics
29790837,healthcare
18373067,politics
14677035,politics
32293161,immigration
10099582,environment
7536689,politics
23774764,technology
13220110,crime_law
28597714,economy
22485040,economy
19436344,politics
31677533,politics
9317535,healthcare
26995241,crime_law
24781959,politics
12299090,politics
21426758,politics
25006589,politics
32904069,healthcare
20566276,economy
16892532,economy
16670511,crime_law
26813887,crime_law
10199024,technology
28370250,crime_law
29082782,technology
22758865,politics
26227699,immigration
15435340,other
18047340,crime_law
15649542,politics
12394508,economy
29635917,education
21642629,environment
20975218,terrorism_security
24171056,education
18891292,immigration
19557013,sports
13041903,politics
30474884,politics
13049867,politics
32932601,technology
21578232,economy
31291564,politics
22458385,religion
16845904,education
13708395,other
23320311,economy
16661053,crime_law
16732791,technology
15968475,economy
26373885,politics
15577208,religion
25566610,politics
23760947,education
20056515,terrorism_security
11943390,politics
19234762,terrorism_security
22236363,terrorism_security
17562312,economy
10514619,economy
26541228,immigration
31065266,politics
29380387,healthcare
28975812,politics
19871248,education
25039792,social_issues
30046917,politics
22658344,religion
30112566,politics
23584567,politics
9174532,economy
13695379,crime_law
20346364,technology
26793653,politics
28844713,politics
9623584,environment
11973517,politics
29668617,education
28781118,immigration
20280539,politics
24040902,immigration
26904315,politics
15580839,environment
11181229,technology
16803230,sports
32970744,technology
9869958,crime_law
27933369,immigration
17185144,education
12893839,environment
22900905,politics
14909494,education
29384864,terrorism_security
10798463,environment
17834090,crime_law
25246471,politics
9129832,education
24214151,politics
31848710,politics
7028879,social_issues
20863745,religion
29116987,social_issues
28094280,technology
22930442,politics
12032501,politics
11259812,religion
32653710,economy
30004148,environment
28817845,crime_law
7445707,economy
28460992,economy
29264212,politics
21504340,environment
23620688,crime_law
13791657,environment
26464730,healthcare
28804997,economy
13074877,politics
28350774,religion
30615045,politics
14665372,education
8276117,politics
25004342,politics
19719988,politics
14830765,technology
28079345,technology
24015272,crime_law
18567547,economy
9943718,religion
12301012,politics
17859622,politics
23304237,politics
23440429,politics
17502979,politics
20204695,education
12185610,technology
23628775,crime_law
24882127,terrorism_security
24674728,crime_law
32261484,sports
25559599,crime_law
32993373,politics
9939885,politics
12445744,politics
9707992,education
27265680,terrorism_security
29823570,sports
21387475,technology
22129805,politics
11246363,politics
27484776,politics
30901554,politics
27468535,immigration
24864481,environment
31860291,politics
22070262,economy
31800929,religion
22409800,economy
11995279,technology
16507240,crime_law
25066075,politics
22130187,economy
31914328,education
26960757,politics
8798889,technology
28888887,economy
27475500,immigration
28676610,politics
9317467,economy
8305275,terrorism_security
32776713,environment
17069460,crime_law
16034846,politics
25566492,terrorism_security
32478679,economy
13941381,economy
20280464,healthcare
25959922,social_issues
31498825,politics
11694211,economy
25052877,technology
6992362,politics
12023737,politics
32451354,politics
7339810,politics
23701486,technology
14272246,crime_law
25971277,terrorism_security
13116708,environment
21293639,terrorism_security
21123856,technology
21835226,healthcare
15552285,economy
25485932,politics
17586295,politics
24459857,healthcare
28746915,politics
25327995,technology
16910686,education
28568039,politics
18812139,technology
20924259,immigration
25876307,politics
16344189,politics
30495617,environment
19234676,politics
13576567,economy
29774194,religion
24761811,education
30189796,terrorism_security
21138368,religion
30747410,politics
17701994,politics
25608277,healthcare
25836229,crime_law
19911344,politics
22672289,crime_law
12235270,healthcare
